date,plantnum,trt,rep,varname,variety,plot_name,mk_kg,mk_num,un_kg,un_num
7/26/2023,,org,4,Tomimaru Muchoo,2,org402,12.7,69,7.95,46
8/3/2023,,con,1,Estiva,1,con101,21.05,133,8.9,88
8/3/2023,,con,1,Tomimaru Muchoo,2,con102,11.3,80,10.15,113
8/3/2023,,con,2,Estiva,1,con201,31.8,171,14.45,77
8/3/2023,,con,2,Tomimaru Muchoo,2,con202,27.1,146,5.35,32
8/3/2023,,con,3,Estiva,1,con301,32.3,182,12.95,74
8/3/2023,,con,4,Estiva,1,con401,11.15,66,15.65,108
8/3/2023,,con,4,Tomimaru Muchoo,2,con402,21.35,133,18.65,120
8/3/2023,,ht,1,Estiva,1,ht101,25.5,166,7.85,64
8/3/2023,,ht,1,Tomimaru Muchoo,2,ht102,22.25,162,1.3,9
8/3/2023,,ht,2,Estiva,1,ht201,15.7,137,2.4,28
8/3/2023,,ht,2,Tomimaru Muchoo,2,ht202,21.85,179,1.75,16
8/3/2023,,ht,3,Estiva,1,ht301,24.95,178,6.2,68
8/3/2023,,ht,3,Tomimaru Muchoo,2,ht302,21.9,178,2.5,20
8/3/2023,,ht,4,Estiva,1,ht401,11.6,108,4.25,51
8/3/2023,,ht,4,Tomimaru Muchoo,2,ht402,22.2,187,1.55,17
8/3/2023,,org,1,Estiva,1,org101,13.45,97,5,38
8/3/2023,,org,1,Tomimaru Muchoo,2,org102,5.55,40,4.75,34
8/3/2023,,org,2,Estiva,1,org201,14.6,123,3.5,31
8/3/2023,,org,2,Tomimaru Muchoo,2,org202,13.8,141,2.9,32
8/3/2023,,org,3,Estiva,1,org301,15.15,117,6.45,60
8/3/2023,,org,3,Tomimaru Muchoo,2,org302,11.3,113,5.3,56
8/3/2023,,org,4,Estiva,1,org401,9.7,85,10.35,93
8/3/2023,,org,4,Tomimaru Muchoo,2,org402,18.85,139,15.45,127
