date,plantnum,trt,rep,varname,variety,plot_name,mk_kg,mk_num,un_kg,un_num,,,,,
7/19/2024,8,Ht,3,Estiva,1,Ht301,0.45,5,4.35,61,,,,,
7/19/2024,8,Ht,3,Tomimaru Muchoo,2,Ht302,5.05,37,1.2,14,,,,,
7/19/2024,8,Ht,4,Estiva,1,Ht401,1.55,17,1.9,13,,,,,
7/19/2024,8,Ht,4,Tomimaru Muchoo,2,Ht402,5.25,57,0.8,8,,,,,
7/23/2024,8,Con,1,Estiva,1,Con101,7.7,39,3.1,14,,,,,
7/23/2024,8,Con,1,Tomimaru Muchoo,2,Con102,2.4,14,3.3,22,,,,,
7/23/2024,8,Con,2,Estiva,1,Con201,7.7,36,1.15,6,,,,,
7/23/2024,8,Con,2,Tomimaru Muchoo,2,Con202,2.5,11,3.65,19,,,,,
7/23/2024,8,Con,3,Estiva,1,Con301,13.1,55,3.35,16,,,,,
7/23/2024,8,Con,3,Tomimaru Muchoo,2,Con302,6.45,29,2.15,12,,,,,
7/23/2024,8,Con,4,Estiva,1,Con401,7.4,39,2.35,10,,,,,
7/23/2024,8,Con,4,Tomimaru Muchoo,2,Con402,7.55,42,2.45,14,,,,,
7/23/2024,8,Org,1,Estiva,1,Org101,0,0,2.35,36,,,,,
7/23/2024,7,Org,1,Tomimaru Muchoo,2,Org102,0.7,6,2.65,26,,,,,
7/23/2024,8,Org,2,Estiva,1,Org201,0.15,1,4.2,44,,,,,
7/23/2024,7,Org,2,Tomimaru Muchoo,2,Org202,0,0,1.75,18,,,,,
7/23/2024,4,Org,3,Estiva,1,Org301,0.75,7,3.1,42,,,,,
7/23/2024,7,Org,3,Tomimaru Muchoo,2,Org302,0.4,3,2.7,27,,,,,
7/23/2024,8,Org,4,Estiva,1,Org401,0.15,1,2.25,22,,,,,
7/23/2024,8,Org,4,Tomimaru Muchoo,2,Org402,0.15,3,3.6,36,,,,,
7/23/2024,8,Ht,1,Estiva,1,Ht101,3.1,22,2.75,27,,,,,
7/23/2024,8,Ht,1,Tomimaru Muchoo,2,Ht102,2.9,20,5.25,45,,,,,
7/23/2024,7,Ht,2,Estiva,1,Ht201,3.1,21,2.05,26,,,,,
7/23/2024,7,Ht,2,Tomimaru Muchoo,2,Ht202,2.6,22,0.6,11,,,,,
7/23/2024,7,Ht,3,Estiva,1,Ht301,1.65,14,3.8,49,,,,,
7/23/2024,8,Ht,3,Tomimaru Muchoo,2,Ht302,1.35,14,1.85,20,,,,,
7/23/2024,8,Ht,4,Estiva,1,Ht401,2.35,17,1.6,16,,,,,
7/23/2024,8,Ht,4,Tomimaru Muchoo,2,Ht402,1.9,16,3.05,31,,,,,
7/29/2024,8,Con,1,Estiva,1,Con101,10.1,51,4.6,26,,,,,
7/29/2024,8,Con,1,Tomimaru Muchoo,2,Con102,miss,26,12.2,97,,,,,
7/29/2024,8,Con,2,Estiva,1,Con201,11.45,61,4.1,26,,,,,
7/29/2024,8,Con,2,Tomimaru Muchoo,2,Con202,5.6,28,12.45,72,,,,,
7/29/2024,8,Con,3,Estiva,1,Con301,11.55,63,4.4,21,,,,,
7/29/2024,8,Con,3,Tomimaru Muchoo,2,Con302,7.9,50,11.05,78,,,,,
7/29/2024,8,Con,4,Estiva,1,Con401,7,37,6.5,36,,,,,
7/29/2024,8,Con,4,Tomimaru Muchoo,2,Con402,4.35,30,13.25,89,,,,,
7/29/2024,8,Org,1,Estiva,1,Org101,0,0,3.45,42,,,,,
7/29/2024,7,Org,1,Tomimaru Muchoo,2,Org102,0,0,10.15,82,,,,,
7/29/2024,8,Org,2,Estiva,1,Org201,1.35,8,5.5,48,,,,,
7/29/2024,7,Org,2,Tomimaru Muchoo,2,Org202,0,0,8,58,,,,,
7/29/2024,4,Org,3,Estiva,1,Org301,0,0,3.95,37,,,,,
7/29/2024,7,Org,3,Tomimaru Muchoo,2,Org302,0,0,10.95,94,,,,,
7/29/2024,8,Org,4,Estiva,1,Org401,1.25,7,7.05,60,,,,,
7/29/2024,8,Org,4,Tomimaru Muchoo,2,Org402,0,0,13.65,116,,,,,
7/29/2024,8,Ht,1,Estiva,1,Ht101,3.75,25,0.9,11,,,,,
7/29/2024,8,Ht,1,Tomimaru Muchoo,2,Ht102,3.35,28,3.4,37,,,,,
7/29/2024,7,Ht,2,Estiva,1,Ht201,3.1,23,1.7,19,,,,,
7/29/2024,7,Ht,2,Tomimaru Muchoo,2,Ht202,3.15,31,3.15,31,,,,,
7/29/2024,7,Ht,3,Estiva,1,Ht301,0.5,5,3.95,43,,,,,
7/29/2024,8,Ht,3,Tomimaru Muchoo,2,Ht302,1.6,15,4.95,43,,,,,
7/29/2024,8,Ht,4,Estiva,1,Ht401,3.5,24,2.05,16,,,,,
7/29/2024,8,Ht,4,Tomimaru Muchoo,2,Ht402,0.65,5,2.85,26,,,,,
