plot,location,rep,lemlm2,subsample,brix
r4t7,paul,4,1.8,4,5.6
r4t7,paul,4,1.8,5,5.8
r1t2,paul,1,3.6,1,4.2
r1t2,paul,1,3.6,2,4
r1t2,paul,1,3.6,3,5.6
r1t2,paul,1,3.6,4,4.7
r1t2,paul,1,3.6,5,5.5
r2t5,paul,2,3.6,1,4.4
r2t5,paul,2,3.6,2,3.6
r2t5,paul,2,3.6,3,6.4
r2t5,paul,2,3.6,4,5.4
r2t5,paul,2,3.6,5,6.6
r3t1,paul,3,3.6,1,3.7
r3t1,paul,3,3.6,2,4.4
r3t1,paul,3,3.6,3,4.9
r3t1,paul,3,3.6,4,5.3
r3t1,paul,3,3.6,5,4.5
r4t4,paul,4,3.6,1,2.7
r4t4,paul,4,3.6,2,4.2
r4t4,paul,4,3.6,3,4
r4t4,paul,4,3.6,4,5.3
r4t4,paul,4,3.6,5,5.5
